;pred: [-inf%, -1.5%];pred: [-1.5%, 1.5%];pred: [1.5%, inf%]
true: [-inf%, -1.5%];0;3;57
true: [-1.5%, 1.5%];0;0;56
true: [1.5%, inf%];0;0;127
