;pred: [-inf%, -1.5%];pred: [-1.5%, 1.5%];pred: [1.5%, inf%]
true: [-inf%, -1.5%];13;1;42
true: [-1.5%, 1.5%];9;0;21
true: [1.5%, inf%];22;1;134
