;pred: [-inf%, -1.5%];pred: [-1.5%, 1.5%];pred: [1.5%, inf%]
true: [-inf%, -1.5%];11;15;20
true: [-1.5%, 1.5%];9;76;41
true: [1.5%, inf%];10;31;30
