;pred: [-inf%, -1.5%];pred: [-1.5%, 1.5%];pred: [1.5%, inf%]
true: [-inf%, -1.5%];3;43;0
true: [-1.5%, 1.5%];2;124;0
true: [1.5%, inf%];5;66;0
