;pred: [-inf%, -1.5%];pred: [-1.5%, 1.5%];pred: [1.5%, inf%]
true: [-inf%, -1.5%];8;25;13
true: [-1.5%, 1.5%];4;108;14
true: [1.5%, inf%];9;49;13
