;pred: [-inf%, -1.5%];pred: [-1.5%, 1.5%];pred: [1.5%, inf%]
true: [-inf%, -1.5%];1;37;8
true: [-1.5%, 1.5%];2;110;14
true: [1.5%, inf%];1;56;14
