;pred: [-inf%, -1.5%];pred: [-1.5%, 1.5%];pred: [1.5%, inf%]
true: [-inf%, -1.5%];28;0;28
true: [-1.5%, 1.5%];14;0;16
true: [1.5%, inf%];44;0;113
