;pred: [-inf%, -1.5%];pred: [-1.5%, 1.5%];pred: [1.5%, inf%]
true: [-inf%, -1.5%];0;5;55
true: [-1.5%, 1.5%];0;1;55
true: [1.5%, inf%];0;11;116
