;pred: [-inf%, -1.5%];pred: [-1.5%, 1.5%];pred: [1.5%, inf%]
true: [-inf%, -1.5%];2;30;14
true: [-1.5%, 1.5%];3;96;27
true: [1.5%, inf%];2;56;13
