;pred: [-inf%, -1.5%];pred: [-1.5%, 1.5%];pred: [1.5%, inf%]
true: [-inf%, -1.5%];30;5;25
true: [-1.5%, 1.5%];16;7;33
true: [1.5%, inf%];38;18;71
