;pred: [-inf%, -1.5%];pred: [-1.5%, 1.5%];pred: [1.5%, inf%]
true: [-inf%, -1.5%];12;16;28
true: [-1.5%, 1.5%];8;6;16
true: [1.5%, inf%];57;41;59
