;pred: [-inf%, -1.5%];pred: [-1.5%, 1.5%];pred: [1.5%, inf%]
true: [-inf%, -1.5%];21;8;27
true: [-1.5%, 1.5%];12;1;17
true: [1.5%, inf%];36;6;115
