;pred: [-inf%, -1.5%];pred: [-1.5%, 1.5%];pred: [1.5%, inf%]
true: [-inf%, -1.5%];0;0;56
true: [-1.5%, 1.5%];0;0;30
true: [1.5%, inf%];0;0;157
