mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_PCA__n_components;param_SelectKBest__k;param_model__n_estimators;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;std_test_score;rank_test_score
0,9860340118408203;0,39099768949991437;0,040979528427124025;0,002952905938002874;60;20;200;{'PCA__n_components': 60, 'SelectKBest__k': 20, 'model__n_estimators': 200};0,3907766990291262;0,3907766990291262;0,3762135922330097;0,4320388349514563;0,3859223300970874;0,3951456310679612;0,01919778634299532;3
1,3569746971130372;0,4829168535374401;0,06428275108337403;0,013558839484363084;60;20;300;{'PCA__n_components': 60, 'SelectKBest__k': 20, 'model__n_estimators': 300};0,3932038834951456;0,3786407766990291;0,38349514563106796;0,42718446601941745;0,4029126213592233;0,3970873786407767;0,01720392732686344;2
1,7627316474914552;0,7818137635244007;0,049166202545166016;0,00444293486710314;60;45;200;{'PCA__n_components': 60, 'SelectKBest__k': 45, 'model__n_estimators': 200};0,3883495145631068;0,3179611650485437;0,3713592233009709;0,32524271844660196;0,33495145631067963;0,3475728155339806;0,027434701263970455;42
2,8438910961151125;1,332648252690056;0,08479719161987305;0,009670383628892587;60;45;300;{'PCA__n_components': 60, 'SelectKBest__k': 45, 'model__n_estimators': 300};0,2961165048543689;0,33495145631067963;0,36893203883495146;0,3859223300970874;0,36893203883495146;0,3509708737864078;0,03203883495145631;41
2,2957139015197754;1,1185542174712872;0,06562013626098633;0,009944121545488443;60;50;200;{'PCA__n_components': 60, 'SelectKBest__k': 50, 'model__n_estimators': 200};0,3276699029126214;0,3859223300970874;0,3786407766990291;0,4878640776699029;0,36893203883495146;0,38980582524271845;0,05301273151878036;7
3,40584774017334;1,4178937437749144;0,08500814437866211;0,0012755146113331423;60;50;300;{'PCA__n_components': 60, 'SelectKBest__k': 50, 'model__n_estimators': 300};0,3640776699029126;0,3786407766990291;0,3737864077669903;0,47572815533980584;0,3713592233009709;0,3927184466019417;0,04177014517339603;4
0,043989133834838864;0,01988825087015138;0,0;0,0;60;65;200;{'PCA__n_components': 60, 'SelectKBest__k': 65, 'model__n_estimators': 200};;;;;;;;48
0,02945232391357422;0,011763662300031449;0,0;0,0;60;65;300;{'PCA__n_components': 60, 'SelectKBest__k': 65, 'model__n_estimators': 300};;;;;;;;47
0,03278164863586426;0,014047039926468174;0,0;0,0;60;80;200;{'PCA__n_components': 60, 'SelectKBest__k': 80, 'model__n_estimators': 200};;;;;;;;46
0,03619403839111328;0,016667923526325925;0,0;0,0;60;80;300;{'PCA__n_components': 60, 'SelectKBest__k': 80, 'model__n_estimators': 300};;;;;;;;45
2,5855714321136474;1,0911619350234172;0,06019144058227539;0,0011434362308859825;60;all;200;{'PCA__n_components': 60, 'SelectKBest__k': 'all', 'model__n_estimators': 200};0,2961165048543689;0,39805825242718446;0,30339805825242716;0,46359223300970875;0,39563106796116504;0,3713592233009709;0,06338623717087669;27
3,7916322708129884;1,7013733284159873;0,08816518783569335;0,0030359761445952135;60;all;300;{'PCA__n_components': 60, 'SelectKBest__k': 'all', 'model__n_estimators': 300};0,29854368932038833;0,3616504854368932;0,3300970873786408;0,3883495145631068;0,3859223300970874;0,3529126213592233;0,03434616107050239;35
1,104208755493164;0,3975434050164757;0,050899314880371097;0,0010865324260541933;70;20;200;{'PCA__n_components': 70, 'SelectKBest__k': 20, 'model__n_estimators': 200};0,42475728155339804;0,3155339805825243;0,3786407766990291;0,3883495145631068;0,39805825242718446;0,3810679611650486;0,03619679977147037;15
1,659938383102417;0,5738859933138716;0,07383975982666016;0,001623090400705985;70;20;300;{'PCA__n_components': 70, 'SelectKBest__k': 20, 'model__n_estimators': 300};0,41262135922330095;0,3786407766990291;0,35436893203883496;0,4029126213592233;0,39563106796116504;0,38883495145631064;0,02050360396305133;9
1,938386821746826;0,816257469385059;0,056258869171142575;0,0011081367921171538;70;45;200;{'PCA__n_components': 70, 'SelectKBest__k': 45, 'model__n_estimators': 200};0,41504854368932037;0,3300970873786408;0,3446601941747573;0,42961165048543687;0,4077669902912621;0,3854368932038835;0,04013010230182597;14
2,8824202537536623;1,208106761776019;0,0827723503112793;0,001540240691237819;70;45;300;{'PCA__n_components': 70, 'SelectKBest__k': 45, 'model__n_estimators': 300};0,36893203883495146;0,3470873786407767;0,3325242718446602;0,42718446601941745;0,4077669902912621;0,3766990291262136;0,03578430581355749;21
2,0785037517547607;0,8974864239001422;0,05931563377380371;0,005031407376510519;70;50;200;{'PCA__n_components': 70, 'SelectKBest__k': 50, 'model__n_estimators': 200};0,23786407766990292;0,3470873786407767;0,39563106796116504;0,441747572815534;0,38349514563106796;0,36116504854368936;0,06867516750143927;34
3,191163110733032;1,4128138031312283;0,08309693336486816;0,0016835837867702108;70;50;300;{'PCA__n_components': 70, 'SelectKBest__k': 50, 'model__n_estimators': 300};0,2936893203883495;0,3567961165048544;0,3883495145631068;0,32281553398058255;0,4029126213592233;0,3529126213592233;0,040457604924300256;35
2,6224365234375;1,144182673530872;0,060300588607788086;0,0010377406427616266;70;65;200;{'PCA__n_components': 70, 'SelectKBest__k': 65, 'model__n_estimators': 200};0,3907766990291262;0,32524271844660196;0,3932038834951456;0,4733009708737864;0,3567961165048544;0,38786407766990294;0,04944312379227663;10
3,9154305934906004;1,7039805967086974;0,08766069412231445;0,0012206942736781605;70;65;300;{'PCA__n_components': 70, 'SelectKBest__k': 65, 'model__n_estimators': 300};0,38349514563106796;0,33737864077669905;0,42718446601941745;0,46601941747572817;0,38349514563106796;0,3995145631067961;0,04373244904681634;1
