Stock;Model;Preprocessing;CrossValidation;Parameters;Accuracy_1Days_[-inf, -1.5, 1.5, inf];PreicisionMicro_1Days_[-inf, -1.5, 1.5, inf];PrecisionMarco_1Days_[-inf, -1.5, 1.5, inf];PrecisionWeighted_1Days_[-inf, -1.5, 1.5, inf];Accuracy_1Days_[-inf, 0, inf];Accuracy_5Days_[-inf, -1.5, 1.5, inf];PreicisionMicro_5Days_[-inf, -1.5, 1.5, inf];PrecisionMarco_5Days_[-inf, -1.5, 1.5, inf];PrecisionWeighted_5Days_[-inf, -1.5, 1.5, inf];Accuracy_5Days_[-inf, 0, inf];Accuracy_10Days_[-inf, -1.5, 1.5, inf];PreicisionMicro_10Days_[-inf, -1.5, 1.5, inf];PrecisionMarco_10Days_[-inf, -1.5, 1.5, inf];PrecisionWeighted_10Days_[-inf, -1.5, 1.5, inf];Accuracy_10Days_[-inf, 0, inf];training_time;prediction_time;round
TSLA.csv;RandomForestClassifier;[StandardScaler(), SelectKBest()];TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None);{'SelectKBest__k': [50, 'all'], 'model__n_estimators': [50, 100, 200], 'model__max_depth': [8, 16, None]};0,358024691;0,358024691;0,379686427;0,410374721;0,448559671;0,58436214;0,58436214;0,328185328;0,473314584;0,633744856;0,699588477;0,699588477;0,233196159;0,489424038;0,744855967;0 days 00:00:12.696792;0 days 00:00:00.005998;1
TSLA.csv;AdaBoostClassifier;[StandardScaler(), SelectKBest()];TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None);{'SelectKBest__k': [80, 'all'], 'model__n_estimators': [350, 400, 500], 'model__learning_rate': [1, 1.1, 1.5]};0,33744856;0,33744856;0,582800284;0,57749173;0,572016461;0,283950617;0,283950617;0,094650206;0,080627953;0,46090535;0,699588477;0,699588477;0,233196159;0,489424038;0,279835391;0 days 00:01:35.298475;0 days 00:00:00.060897;2
TSLA.csv;MLPClassifier;[StandardScaler(), SelectKBest()];TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None);{'SelectKBest__k': [50, 'all'], 'model__max_iter': [500], 'model__batch_size': [64, 200], 'model__solver': ['adam'], 'model__activation': ['relu']};0,432098765;0,432098765;0,263153961;0,296843455;0,49382716;0,390946502;0,390946502;0,406421181;0,636134968;0,41563786;0,666666667;0,666666667;0,373644214;0,60435617;0,732510288;0 days 00:00:06.941542;0 days 00:00:00.001993;1
TSLA.csv;MLPClassifier;[StandardScaler(), SelectKBest()];TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None);{};0,349794239;0,349794239;0,327050127;0,343597729;0,559670782;0,345679012;0,345679012;0,398395091;0,626573076;0,432098765;0,658436214;0,658436214;0,228898426;0,480404105;0,271604938;0 days 00:00:02.139051;0 days 00:00:00.001999;2
TSLA.csv;LSTM;;;;0,258196721;0,258196721;0,319110603;0,258196721;0,569672131;0,5;0,5;0,346977412;0,5;0,643442623;0,545081967;0,545081967;0,357930179;0,545081967;0,516393443;;;3
AAPL.csv;AdaBoostClassifier;[StandardScaler(), PCA(), SelectKBest()];TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None);{'PCA__n_components': [20, 65, 70, None], 'SelectKBest__k': [80, 'all'], 'model__n_estimators': [350, 400, 500], 'model__learning_rate': [1, 1.1, 1.5]};0,514403292;0,514403292;0,393586937;0,4419217;0,534979424;0,477366255;0,477366255;0,326221577;0,377675046;0,633744856;0,316872428;0,316872428;0,274632595;0,417763187;0,613168724;0 days 00:02:42.945470;0 days 00:00:00.048995;2
AAPL.csv;MLPClassifier;[StandardScaler(), PCA(), SelectKBest()];TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None);{'PCA__n_components': [20, 65, 70, None], 'SelectKBest__k': [80, 'all'], 'model__max_iter': [700, 100, 1500], 'model__batch_size': [150, 175, 200], 'model__solver': ['adam'], 'model__activation': ['tanh']};0,481481481;0,481481481;0,439762605;0,488745117;0,49382716;0,444444444;0,444444444;0,380287929;0,429606843;0,62962963;0,563786008;0,563786008;0,364761644;0,545666409;0,691358025;0 days 00:11:48.873131;0 days 00:00:00.008999;2
AAPL.csv;LSTM;;;;;;;;;;;;;0,62962963;;;;;;;;4
AAPL.csv;Transformer;;;;0,516393443;0,516393443;0,333333333;0,516393443;0,454918033;0,233606557;0,233606557;0,338095238;0,233606557;0,590163934;0,229508197;0,229508197;0,333333333;0,229508197;0,286885246;;;7
AMGN.csv;AdaBoostClassifier;[StandardScaler(), PCA(), SelectKBest()];TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None);{'PCA__n_components': [60, 70, 80, None], 'SelectKBest__k': [20, 45, 50, 65, 80, 'all'], 'model__n_estimators': [200, 300]};0,526748971;0,526748971;0,401875902;0,538203909;0,485596708;0,407407407;0,407407407;0,420710868;0,427014506;0,580246914;0,382716049;0,382716049;0,380393999;0,395468124;0,485596708;0 days 00:01:18.904506;0 days 00:00:00.027045;1
AMGN.csv;LSTM;;;;;;;;;0,267489712;0,267489712;0,296066253;0,267489712;0,432098765;0,37037037;0,37037037;0,365900383;0,37037037;0,604938272;;;4
