mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_PCA__n_components;param_SelectKBest__k;param_model__learning_rate;param_model__n_estimators;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;std_test_score;rank_test_score
5,672386598587036;2,533402552122976;0,12528276443481445;0,0038717163907402183;;80;1;400;{'PCA__n_components': None, 'SelectKBest__k': 80, 'model__learning_rate': 1, 'model__n_estimators': 400};0,5242718446601942;0,4587378640776699;0,5364077669902912;0,5145631067961165;0,46359223300970875;0,49951456310679615;0,03210496264812902;28
7,300776433944702;3,290829152439711;0,16017565727233887;0,014448943662167507;;80;1;500;{'PCA__n_components': None, 'SelectKBest__k': 80, 'model__learning_rate': 1, 'model__n_estimators': 500};0,5266990291262136;0,46359223300970875;0,5436893203883495;0,49514563106796117;0,46359223300970875;0,49854368932038834;0,03251340203813659;30
5,135491275787354;2,226581586993579;0,11425375938415527;0,009120143788617986;;80;1.1;350;{'PCA__n_components': None, 'SelectKBest__k': 80, 'model__learning_rate': 1.1, 'model__n_estimators': 350};0,5024271844660194;0,441747572815534;0,5533980582524272;0,5145631067961165;0,49271844660194175;0,5009708737864078;0,03608595638843843;26
5,768032217025757;2,514237794339735;0,12424921989440918;0,0036545803332785677;;80;1.1;400;{'PCA__n_components': None, 'SelectKBest__k': 80, 'model__learning_rate': 1.1, 'model__n_estimators': 400};0,5024271844660194;0,4563106796116505;0,558252427184466;0,4975728155339806;0,5;0,5029126213592233;0,032469886423671136;23
7,2685311794281;3,4815057364463606;0,1642122745513916;0,028010147415372506;;80;1.1;500;{'PCA__n_components': None, 'SelectKBest__k': 80, 'model__learning_rate': 1.1, 'model__n_estimators': 500};0,5072815533980582;0,4538834951456311;0,5558252427184466;0,5024271844660194;0,5097087378640777;0,5058252427184466;0,03233170059290623;16
5,0564006805419925;2,435741929053864;0,10739431381225586;0,0022915791639638384;;80;1.5;350;{'PCA__n_components': None, 'SelectKBest__k': 80, 'model__learning_rate': 1.5, 'model__n_estimators': 350};0,5072815533980582;0,46601941747572817;0,5509708737864077;0,5703883495145631;0,5097087378640777;0,520873786407767;0,036540212168075355;2
5,763412952423096;2,61806901420596;0,13819026947021484;0,00984301086724541;;80;1.5;400;{'PCA__n_components': None, 'SelectKBest__k': 80, 'model__learning_rate': 1.5, 'model__n_estimators': 400};0,5145631067961165;0,4538834951456311;0,5679611650485437;0,5533980582524272;0,5218446601941747;0,5223300970873787;0,03947888468222806;1
7,330292797088623;3,434655070860076;0,16149673461914063;0,01716885033910311;;80;1.5;500;{'PCA__n_components': None, 'SelectKBest__k': 80, 'model__learning_rate': 1.5, 'model__n_estimators': 500};0,5072815533980582;0,44660194174757284;0,5655339805825242;0,5315533980582524;0,5145631067961165;0,5131067961165048;0,03885315107526938;12
6,354348516464233;3,052542463449016;0,1303389549255371;0,01961976234932754;;all;1;350;{'PCA__n_components': None, 'SelectKBest__k': 'all', 'model__learning_rate': 1, 'model__n_estimators': 350};0,5097087378640777;0,4587378640776699;0,5606796116504854;0,5485436893203883;0,5266990291262136;0,520873786407767;0,035691993096411245;2
7,163841009140015;3,2282459719768224;0,13880372047424316;0,0042268357444618775;;all;1;400;{'PCA__n_components': None, 'SelectKBest__k': 'all', 'model__learning_rate': 1, 'model__n_estimators': 400};0,5145631067961165;0,4563106796116505;0,558252427184466;0,5315533980582524;0,5072815533980582;0,5135922330097087;0,03358297195422907;6
8,942415857315064;4,126839190398905;0,1892087459564209;0,018079741032687602;;all;1;500;{'PCA__n_components': None, 'SelectKBest__k': 'all', 'model__learning_rate': 1, 'model__n_estimators': 500};0,5072815533980582;0,45145631067961167;0,5558252427184466;0,5485436893203883;0,4854368932038835;0,5097087378640776;0,03904675252852465;13
6,5204931735992435;2,8290690189852086;0,12718381881713867;0,01002056624573275;;all;1.1;350;{'PCA__n_components': None, 'SelectKBest__k': 'all', 'model__learning_rate': 1.1, 'model__n_estimators': 350};0,49271844660194175;0,4563106796116505;0,5485436893203883;0,5145631067961165;0,5169902912621359;0,5058252427184466;0,03049378402823185;16
7,543328380584716;3,3989456496293813;0,13308815956115722;0,003998008479991975;;all;1.1;400;{'PCA__n_components': None, 'SelectKBest__k': 'all', 'model__learning_rate': 1.1, 'model__n_estimators': 400};0,49514563106796117;0,4587378640776699;0,5533980582524272;0,5218446601941747;0,5364077669902912;0,5131067961165049;0,033230273961407424;9
8,711441087722779;3,814775768651598;0,17320446968078612;0,01495478016268512;;all;1.1;500;{'PCA__n_components': None, 'SelectKBest__k': 'all', 'model__learning_rate': 1.1, 'model__n_estimators': 500};0,5048543689320388;0,4587378640776699;0,5412621359223301;0,5024271844660194;0,5145631067961165;0,5043689320388349;0,02665044122584621;20
6,0185261249542235;2,679411560160826;0,11992807388305664;0,0050160636701341264;;all;1.5;350;{'PCA__n_components': None, 'SelectKBest__k': 'all', 'model__learning_rate': 1.5, 'model__n_estimators': 350};0,47815533980582525;0,48058252427184467;0,5121359223300971;0,5097087378640777;0,49029126213592233;0,4941747572815534;0,014285377640351607;34
6,831299781799316;3,018337948168207;0,12191176414489746;0,018616146699993664;;all;1.5;400;{'PCA__n_components': None, 'SelectKBest__k': 'all', 'model__learning_rate': 1.5, 'model__n_estimators': 400};0,4878640776699029;0,49029126213592233;0,5145631067961165;0,49514563106796117;0,4975728155339806;0,4970873786407767;0,00938790272126879;31
7,064858722686767;2,368917819343198;0,1226311206817627;0,049464578680878946;;all;1.5;500;{'PCA__n_components': None, 'SelectKBest__k': 'all', 'model__learning_rate': 1.5, 'model__n_estimators': 500};0,47815533980582525;0,4830097087378641;0,5072815533980582;0,5072815533980582;0,48058252427184467;0,49126213592233015;0,013169572782767506;40
