;pred: [-inf%, -1.5%];pred: [-1.5%, 1.5%];pred: [1.5%, inf%]
true: [-inf%, -1.5%];0;0;55
true: [-1.5%, 1.5%];0;0;18
true: [1.5%, inf%];10;0;160
