;pred: [-inf%, -1.5%];pred: [-1.5%, 1.5%];pred: [1.5%, inf%]
true: [-inf%, -1.5%];1;50;22
true: [-1.5%, 1.5%];0;50;14
true: [1.5%, inf%];0;75;31
