;pred: [-inf%, -1.5%];pred: [-1.5%, 1.5%];pred: [1.5%, inf%]
true: [-inf%, -1.5%];49;0;20
true: [-1.5%, 1.5%];17;0;10
true: [1.5%, inf%];94;0;53
