;pred: [-inf%, -1.5%];pred: [-1.5%, 1.5%];pred: [1.5%, inf%]
true: [-inf%, -1.5%];7;0;66
true: [-1.5%, 1.5%];5;0;59
true: [1.5%, inf%];8;0;98
