;pred: [-inf%, -1.5%];pred: [-1.5%, 1.5%];pred: [1.5%, inf%]
true: [-inf%, -1.5%];67;1;1
true: [-1.5%, 1.5%];26;0;1
true: [1.5%, inf%];130;0;17
