;pred: [-inf%, -1.5%];pred: [-1.5%, 1.5%];pred: [1.5%, inf%]
true: [-inf%, -1.5%];19;37;13
true: [-1.5%, 1.5%];8;18;1
true: [1.5%, inf%];43;53;51
