;pred: [-inf%, -1.5%];pred: [-1.5%, 1.5%];pred: [1.5%, inf%]
true: [-inf%, -1.5%];27;1;27
true: [-1.5%, 1.5%];5;0;13
true: [1.5%, inf%];92;4;74
