;pred: [-inf%, -1.5%];pred: [-1.5%, 1.5%];pred: [1.5%, inf%]
true: [-inf%, -1.5%];31;5;19
true: [-1.5%, 1.5%];9;2;7
true: [1.5%, inf%];105;8;57
