;pred: [-inf%, -1.5%];pred: [-1.5%, 1.5%];pred: [1.5%, inf%]
true: [-inf%, -1.5%];12;57;4
true: [-1.5%, 1.5%];9;49;6
true: [1.5%, inf%];9;84;13
