;pred: [-inf%, -1.5%];pred: [-1.5%, 1.5%];pred: [1.5%, inf%]
true: [-inf%, -1.5%];61;11;1
true: [-1.5%, 1.5%];50;13;1
true: [1.5%, inf%];86;16;4
