;pred: [-inf%, -1.5%];pred: [-1.5%, 1.5%];pred: [1.5%, inf%]
true: [-inf%, -1.5%];0;85;8
true: [-1.5%, 1.5%];0;61;11
true: [1.5%, inf%];0;62;16
