;pred: [-inf%, -1.5%];pred: [-1.5%, 1.5%];pred: [1.5%, inf%]
true: [-inf%, -1.5%];23;52;27
true: [-1.5%, 1.5%];15;35;4
true: [1.5%, inf%];12;36;39
