;pred: [-inf%, -1.5%];pred: [-1.5%, 1.5%];pred: [1.5%, inf%]
true: [-inf%, -1.5%];0;40;62
true: [-1.5%, 1.5%];0;26;28
true: [1.5%, inf%];0;28;59
