;pred: [-inf%, -1.5%];pred: [-1.5%, 1.5%];pred: [1.5%, inf%]
true: [-inf%, -1.5%];32;0;70
true: [-1.5%, 1.5%];21;0;33
true: [1.5%, inf%];12;0;75
