;pred: [-inf%, -1.5%];pred: [-1.5%, 1.5%];pred: [1.5%, inf%]
true: [-inf%, -1.5%];0;42;1
true: [-1.5%, 1.5%];0;157;1
true: [1.5%, inf%];0;41;1
