;pred: [-inf%, -1.5%];pred: [-1.5%, 1.5%];pred: [1.5%, inf%]
true: [-inf%, -1.5%];4;49;40
true: [-1.5%, 1.5%];10;36;26
true: [1.5%, inf%];7;38;33
