;pred: [-inf%, -1.5%];pred: [-1.5%, 1.5%];pred: [1.5%, inf%]
true: [-inf%, -1.5%];0;28;15
true: [-1.5%, 1.5%];0;91;67
true: [1.5%, inf%];0;31;11
