;pred: [-inf%, -1.5%];pred: [-1.5%, 1.5%];pred: [1.5%, inf%]
true: [-inf%, -1.5%];54;6;33
true: [-1.5%, 1.5%];40;8;24
true: [1.5%, inf%];36;7;35
