;pred: [-inf%, -1.5%];pred: [-1.5%, 1.5%];pred: [1.5%, inf%]
true: [-inf%, -1.5%];0;43;0
true: [-1.5%, 1.5%];0;158;0
true: [1.5%, inf%];0;42;0
