;pred: [-inf%, -1.5%];pred: [-1.5%, 1.5%];pred: [1.5%, inf%]
true: [-inf%, -1.5%];5;27;11
true: [-1.5%, 1.5%];2;113;43
true: [1.5%, inf%];1;25;16
