;pred: [-inf%, -1.5%];pred: [-1.5%, 1.5%];pred: [1.5%, inf%]
true: [-inf%, -1.5%];1;75;17
true: [-1.5%, 1.5%];2;54;16
true: [1.5%, inf%];0;51;27
