;pred: [-inf%, -1.5%];pred: [-1.5%, 1.5%];pred: [1.5%, inf%]
true: [-inf%, -1.5%];22;28;43
true: [-1.5%, 1.5%];11;24;37
true: [1.5%, inf%];11;14;53
