;pred: [-inf%, -1.5%];pred: [-1.5%, 1.5%];pred: [1.5%, inf%]
true: [-inf%, -1.5%];11;42;40
true: [-1.5%, 1.5%];16;21;35
true: [1.5%, inf%];19;22;37
