;pred: [-inf%, -1.5%];pred: [-1.5%, 1.5%];pred: [1.5%, inf%]
true: [-inf%, -1.5%];2;10;90
true: [-1.5%, 1.5%];3;5;46
true: [1.5%, inf%];6;7;74
