;pred: [-inf%, -1.5%];pred: [-1.5%, 1.5%];pred: [1.5%, inf%]
true: [-inf%, -1.5%];1;22;70
true: [-1.5%, 1.5%];1;21;50
true: [1.5%, inf%];2;15;61
