;pred: [-inf%, -1.5%];pred: [-1.5%, 1.5%];pred: [1.5%, inf%]
true: [-inf%, -1.5%];0;5;97
true: [-1.5%, 1.5%];0;2;52
true: [1.5%, inf%];0;1;86
